,Monthly UC LHA rates 24/25,,,,
BRMA,SAR,1 Bed,2 bed,3 bed,4 Bed
North West Wales,£342.41,£391.07,£550.00,£625.00,£750.00
North Clwyd,£342.41,£395.00,£550.00,£650.00,£855.00
Flintshire,£380.21,£450.00,£595.00,£695.00,£925.00
Wrexham,£391.31,£475.00,£525.00,£600.00,£750.00
South Gwynedd,£342.41,£350.00,£434.52,£543.15,£675.00
North Powys,£293.30,£325.00,£400.00,£550.00,£675.00
Ceredigion,£304.17,£420.00,£500.00,£550.00,£650.00
Brecon & Radnor,£332.41,£340.00,£440.00,£550.00,£650.00
Pembrokeshire,£297.41,£360.00,£460.00,£575.00,£700.00
Carmarthenshire,£336.76,£400.00,£488.84,£535.00,£650.00
Swansea,£375.00,£525.00,£550.00,£600.00,£820.00
Neath Port Talbot,£375.00,£411.67,£450.00,£500.00,£575.00
Bridgend,£300.00,£400.00,£525.00,£575.00,£775.00
Taff Rhondda,£300.00,£375.00,£450.00,£495.00,£650.00
Merthyr Cynon,£300.00,£434.52,£500.00,£550.00,£725.00
Caerphilly,£337.41,£350.00,£495.00,£550.00,£750.00
Blaenau Gwent,£300.00,£325.89,£430.00,£490.00,£650.00
Torfaen,£300.00,£500.00,£564.88,£650.00,£750.00
Monmouthshire,£337.41,£533.16,£700.00,£795.00,"£1,100.00"
Vale of Glamorgan,£300.00,£525.77,£666.00,£725.00,"£1,025.00"
Cardiff,£366.10,£650.00,£825.00,£925.00,"£1,300.00"
Newport,£337.41,£440.00,£600.00,£650.00,£880.00
